,Country,Latitude,Longitude,Date Time,Temperature,Humidity,Cloudiness,Wind Speed
450,KH,13.49,106.98,1594933191,73.98,96,19,1.61
451,CN,30.63,117.85,1594933191,73.85,92,70,1.61
452,RU,60.05,69.9,1594933192,66.04,96,5,5.79
453,BY,52.21,24.36,1594933192,60.4,86,87,4.9
454,RU,60.73,77.59,1594933192,59.0,77,1,8.95
455,MU,-19.98,57.61,1594933192,68.0,80,3,1.99
456,ID,3.82,117.25,1594932908,71.35,98,73,1.14
457,PF,-16.7,-151.02,1594933192,75.0,90,100,16.67
458,BR,-16.18,-40.69,1594933192,68.04,84,81,4.14
459,CN,47.87,88.12,1594933192,67.48,39,18,8.79
460,PG,-3.67,152.43,1594933193,79.97,81,78,4.18
461,US,36.68,-101.48,1594933023,91.4,41,1,18.34
462,AU,-14.25,129.55,1594933193,61.38,37,0,5.5
463,GB,50.86,0.57,1594933166,64.99,88,87,5.82
464,CN,50.57,123.72,1594933193,64.47,93,92,1.36
465,AU,-41.07,145.92,1594933193,37.99,81,0,1.99
466,EG,26.77,31.5,1594933193,91.4,21,0,11.41
467,KZ,51.8,68.33,1594933193,65.57,52,18,9.33
468,DZ,36.1,0.42,1594933194,76.78,51,0,11.01
469,JO,30.32,35.48,1594933194,65.46,68,0,1.32
470,BS,24.9,-76.2,1594933194,83.77,76,92,13.4
471,CA,49.82,-94.43,1594933194,78.8,36,75,19.46
472,RU,46.71,142.53,1594933194,59.0,93,90,4.47
473,IN,17.83,76.62,1594933194,70.47,88,97,17.85
474,PE,-12.04,-77.03,1594932917,62.6,72,90,8.05
475,MY,2.43,103.84,1594933194,75.2,100,57,3.36
476,RU,65.58,-171.0,1594933194,51.24,77,98,4.41
477,SS,8.53,28.1,1594933195,74.01,85,87,3.51
478,RU,53.05,158.65,1594933195,53.6,100,90,2.24
479,PH,14.31,121.11,1594933195,82.0,78,0,1.01
480,RU,66.77,123.37,1594933195,61.65,84,98,10.8
481,IT,38.28,16.3,1594933195,77.0,78,20,2.24
482,GB,51.38,1.39,1594933195,64.99,82,95,1.01
483,IR,32.87,59.22,1594933195,77.0,31,0,6.93
484,US,45.02,-93.22,1594933196,84.2,39,20,11.41
485,CO,-3.77,-70.38,1594933196,89.6,66,40,2.24
486,CN,31.81,121.66,1594933196,73.0,91,51,3.0
487,MX,19.22,-104.7,1594932932,89.6,75,75,11.41
488,CD,-6.13,24.48,1594933196,72.57,33,19,6.91
489,US,20.89,-156.47,1594933196,84.2,66,40,20.8
490,PT,32.65,-17.07,1594933196,71.6,73,1,3.36
491,OM,22.57,59.53,1594933196,85.41,64,35,7.05
492,RU,52.52,99.83,1594933197,44.29,74,100,0.2
493,ER,13.93,41.69,1594933197,91.15,53,100,2.75
494,ID,-6.88,112.21,1594933197,76.05,81,0,8.39
495,CD,-0.22,20.87,1594933197,73.42,90,89,1.12
496,LY,30.76,20.23,1594933197,77.31,62,0,8.57
497,US,42.16,-72.33,1594933095,80.6,44,75,9.17
498,AR,-27.48,-58.83,1594933036,71.6,60,42,3.36
499,IN,22.9,73.83,1594933198,79.84,87,80,12.08
500,US,43.31,-73.64,1594933198,79.0,64,75,9.17
501,BR,-9.88,-56.09,1594933193,95.0,26,20,3.36
502,EG,24.09,32.91,1594933198,87.35,18,0,12.55
503,IN,20.0,77.0,1594933088,74.73,88,84,12.37
504,PK,28.89,64.41,1594933198,84.33,34,22,5.06
505,IN,22.24,68.97,1594933198,84.04,77,100,6.31
506,PH,16.22,121.6,1594933199,74.34,86,62,1.61
507,BR,-5.2,-35.46,1594933153,77.0,83,75,5.82
508,PH,6.37,126.17,1594933199,82.72,67,2,2.48
509,CA,60.82,-115.8,1594933199,60.8,72,75,14.99
510,US,40.8,-124.16,1594933199,70.0,72,20,6.93
511,RU,50.95,43.74,1594933199,61.0,67,2,2.89
512,US,40.81,-74.19,1594933199,79.0,53,75,12.75
513,AO,-14.92,13.49,1594933199,54.84,37,0,8.19
514,ES,37.47,-4.44,1594933200,84.99,36,0,6.29
515,US,41.0,-115.5,1594933200,91.4,7,1,5.82
516,LY,32.93,12.08,1594933200,77.9,83,0,12.93
517,PH,13.55,122.95,1594933200,79.75,85,58,4.38
518,NO,71.04,27.85,1594933201,51.8,93,96,4.7
519,NZ,-44.7,169.15,1594933203,28.99,84,20,3.0
520,CA,50.7,-127.42,1594933204,57.2,87,75,10.29
521,MY,2.02,112.93,1594933204,73.04,95,100,1.72
522,GL,66.94,-53.67,1594933205,49.42,74,28,5.91
523,NO,68.12,13.5,1594933205,57.2,87,40,8.05
524,LY,29.03,21.55,1594933206,84.15,39,0,13.85
525,AU,-32.72,152.15,1594933207,55.4,76,90,11.41
526,AR,-33.89,-60.57,1594932949,61.0,41,9,1.99
527,MX,15.74,-96.47,1594933207,90.0,62,90,13.87
528,US,38.44,-105.24,1594933207,87.8,22,1,8.05
529,MN,49.98,92.07,1594933208,60.46,57,7,4.54
530,ML,20.2,1.01,1594933208,92.21,30,25,12.21
531,US,40.74,-114.07,1594933208,89.6,10,1,8.05
532,US,58.3,-134.42,1594933203,64.4,68,40,8.05
533,JP,33.73,135.98,1594933209,70.14,90,100,3.87
534,CF,10.28,22.79,1594933210,72.21,91,100,2.62
535,CR,10.0,-83.03,1594933210,87.8,66,33,8.05
536,PH,13.31,123.34,1594933210,77.4,89,81,2.77
537,MX,20.7,-105.2,1594933075,90.0,74,75,13.87
538,NZ,-38.65,178.0,1594933211,52.0,84,100,4.0
539,IN,13.22,80.32,1594933211,80.6,88,75,3.36
540,CD,-4.45,26.67,1594933211,76.06,42,54,4.52
541,TZ,-10.07,38.93,1594933212,67.33,58,36,8.05
542,JP,42.33,142.37,1594933212,60.8,83,74,1.92
543,TR,38.69,35.55,1594933212,80.6,39,75,4.7
544,AU,-21.15,149.2,1594933212,41.0,86,0,5.82
545,ES,42.78,-9.06,1594933213,70.0,63,60,15.01
546,IT,37.83,12.67,1594933213,84.2,83,40,4.7
